,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_k,salary_more_than_100k
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,1,NL,2,42.0,0
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,0,720.0,1
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,2,US,2,100.0,0
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,1,CA,2,157.0,1
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,2,DE,0,51.999,0
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,2,US,2,70.0,0
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,2,US,2,60.0,0
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,1,450.0,1
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,1,FR,2,41.0,0
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,1,AT,2,65.0,0
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,2,US,2,103.0,1
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,1,US,2,250.0,1
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,2,NG,0,10.0,0
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,2,US,0,138.0,1
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,2,US,0,45.76,0
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,1,ES,2,70.0,0
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,1,44.0,0
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,2,US,2,106.0,1
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,1,GB,2,88.0,0
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,2,DE,0,14.0,0
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,2,GB,0,60.0,0
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,2,US,2,188.0,1
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,2,US,2,105.0,1
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,1,FR,2,61.5,0
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,0,450.0,1
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,2,US,2,91.0,0
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,1,DK,0,300.0,1
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,2,DE,2,48.0,0
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,2,US,0,60.0,0
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,2,DE,1,130.0,1
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,2,ES,1,34.0,0
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,2,US,1,118.0,1
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,1,US,2,120.0,1
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,2,US,1,138.35,1
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,2,US,2,110.0,1
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,2,US,1,130.8,1
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,1,IT,0,19.0,0
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,2,US,2,412.0,1
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,2,HR,0,40.0,0
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,1,DE,0,55.0,0
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,0,43.2,0
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,2,US,1,190.2,1
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,2,US,0,105.0,1
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,0,80.0,0
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,1,LU,0,55.0,0
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,1,FR,0,37.0,0
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,1,GB,2,60.0,0
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,2,US,2,150.0,1
74,2021,EX,FT,Head of Data,235000,USD,235000,US,2,US,2,235.0,1
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,1,FR,2,45.0,0
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,2,US,1,100.0,0
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,1,IN,1,400.0,1
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,2,US,2,270.0,1
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,2,US,1,80.0,0
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,2,DE,2,67.0,0
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,2,US,2,140.0,1
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,1,CA,2,68.0,0
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,2,ES,0,40.0,0
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,2,PL,2,130.0,1
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,2,PL,2,110.0,1
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,1,FR,1,50.0,0
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,2,US,2,110.0,1
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,2,US,2,170.0,1
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,2,US,0,80.0,0
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,2,DK,2,75.0,0
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,2,DE,0,65.0,0
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,2,IN,2,1450.0,1
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,2,276.0,1
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,1,IN,2,2200.0,1
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,1,SG,2,120.0,1
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,2,US,0,12.0,0
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,2,US,2,450.0,1
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,2,US,1,70.0,0
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,2,US,0,81.0,0
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,2,75.0,0
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,2,US,2,150.0,1
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,1,US,2,11000.0,1
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,2,62.0,0
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,2,73.0,0
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,1,GB,2,37.456,0
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,2,CA,2,235.0,1
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,2,US,0,115.0,1
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,2,US,1,150.0,1
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,2,IN,2,2250.0,1
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,1,DE,2,80.0,0
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,2,GB,1,82.5,0
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,2,GB,0,75.0,0
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,2,US,1,12.0,0
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,2,NL,2,38.4,0
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,2,US,2,225.0,1
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,2,NG,2,50.0,0
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,2,GR,1,34.0,0
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,2,US,0,90.0,0
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,2,US,2,200.0,1
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,1,RO,1,60.0,0
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,2,US,1,200.0,1
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,2,US,1,50.0,0
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,2,80.0,0
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,1,ES,1,8.76,0
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,2,US,2,151.0,1
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,1,US,0,120.0,1
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,0,700.0,1
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,2,IN,0,20.0,0
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,1,IN,2,3000.0,1
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,1,IQ,0,100.0,0
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,1,FR,1,42.0,0
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,2,US,1,38.4,0
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,2,BR,1,24.0,0
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,0,100.0,0
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,2,US,1,90.0,0
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,1,JP,0,7000.0,1
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,1,JP,0,8500.0,1
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,2,220.0,1
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,2,US,1,80.0,0
140,2021,MI,FT,Data Analyst,135000,USD,135000,US,2,US,2,135.0,1
141,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,2,240.0,1
142,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,2,150.0,1
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,2,US,0,82.5,0
144,2021,MI,FT,Data Engineer,100000,USD,100000,US,2,US,2,100.0,0
145,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,1,BE,1,70.0,0
146,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,1,FR,1,53.0,0
147,2021,MI,FT,Data Engineer,90000,USD,90000,US,2,US,2,90.0,0
148,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,2,US,2,153.0,1
149,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,2,US,0,160.0,1
150,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,0,168.0,1
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,2,US,1,150.0,1
152,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,2,CA,2,95.0,0
153,2021,EN,FT,Data Scientist,13400,USD,13400,UA,2,UA,2,13.4,0
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,2,US,2,144.0,1
155,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,1,CA,2,159.5,1
156,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,2,IL,1,160.0,1
157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,1,US,2,423.0,1
158,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,2,US,1,120.0,1
159,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,2,US,0,125.0,1
160,2021,EX,FT,Head of Data,230000,USD,230000,RU,1,RU,2,230.0,1
161,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,1,85.0,0
162,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,1,MT,2,24.0,0
163,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,1,DE,2,54.0,0
164,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,1,DE,1,110.0,1
165,2021,SE,FT,Data Specialist,165000,USD,165000,US,2,US,2,165.0,1
166,2021,EN,FT,Data Engineer,80000,USD,80000,US,2,US,2,80.0,0
167,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,2,250.0,1
168,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,1,US,0,55.0,0
169,2021,MI,FT,Data Architect,150000,USD,150000,US,2,US,2,150.0,1
170,2021,MI,FT,Data Architect,170000,USD,170000,US,2,US,2,170.0,1
171,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,2,GB,2,60.0,0
172,2021,EN,FT,Data Analyst,60000,USD,60000,US,2,US,0,60.0,0
173,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,2,US,2,235.0,1
174,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,1,PT,2,51.4,0
175,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,2,US,2,174.0,1
176,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,0,58.0,0
177,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,2,CL,2,30400.0,1
178,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,1,US,0,81.0,0
179,2021,MI,FT,Data Scientist,420000,INR,5679,IN,2,US,0,420.0,1
180,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,2,1672.0,1
181,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,1,DE,2,76.76,0
182,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,2,22.0,0
183,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,1,GB,2,45.0,0
184,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,1,PK,1,12.0,0
185,2021,MI,FT,Data Engineer,4000,USD,4000,IR,2,IR,1,4.0,0
186,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,2,GB,1,50.0,0
187,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,2,ES,0,59.0,0
188,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,1,GB,0,65.0,0
189,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,1,JP,0,74.0,0
190,2021,SE,FT,Data Science Manager,152000,USD,152000,US,2,FR,2,152.0,1
191,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,1,CO,1,21.844,0
192,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,0,18.0,0
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,2,US,2,174.0,1
194,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,1,CA,2,120.5,1
195,2021,MI,FT,Data Scientist,147000,USD,147000,US,1,US,2,147.0,1
196,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,2,KE,0,9.272,0
197,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,2,IN,2,1799.997,1
198,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,1,US,2,4000.0,1
199,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,2,US,0,90.0,0
200,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,1,AT,1,52.0,0
201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,2,US,1,195.0,1
202,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,2,ES,2,32.0,0
203,2021,SE,FT,Research Scientist,50000,USD,50000,FR,2,US,0,50.0,0
204,2021,MI,FT,Data Scientist,160000,USD,160000,US,2,US,2,160.0,1
205,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,0,69.6,0
206,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,2,US,2,200.0,1
207,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,1,165.0,1
208,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,2,20.0,0
209,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,2,120.0,1
210,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,1,SI,2,21.0,0
211,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,1,FR,0,48.0,0
212,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,1,GB,0,48.0,0
213,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,2,435.0,1
214,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,1,DE,1,21.0,0
215,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,2,US,2,185.0,1
216,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,1,DK,0,180.0,1
217,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,1,DE,2,76.76,0
218,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,2,BE,1,75.0,0
219,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,2,US,2,140.0,1
220,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,2,PL,2,180.0,1
221,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,1,GB,2,85.0,0
222,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,1,2500.0,1
223,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,1,GB,2,40.9,0
224,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,2,CA,2,225.0,1
225,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,2,US,0,416.0,1
226,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,2,CA,0,110.0,1
227,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,1,DE,2,75.0,0
228,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,2,135.0,1
229,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,2,CA,1,90.0,0
230,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,2,IN,2,1200.0,1
231,2021,SE,FT,ML Engineer,256000,USD,256000,US,2,US,0,256.0,1
232,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,2,US,2,200.0,1
233,2021,SE,FT,Data Analyst,200000,USD,200000,US,2,US,2,200.0,1
234,2021,MI,FT,Data Architect,180000,USD,180000,US,2,US,2,180.0,1
235,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,0,110.0,1
236,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,2,CA,1,80.0,0
237,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,2,ES,1,39.6,0
238,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,1,4.0,0
239,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,1,IN,1,1600.0,1
240,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,2,CA,2,130.0,1
241,2021,MI,FT,Data Analyst,80000,USD,80000,US,2,US,2,80.0,0
242,2021,MI,FT,Data Engineer,110000,USD,110000,US,2,US,2,110.0,1
243,2021,SE,FT,Data Scientist,165000,USD,165000,US,2,US,2,165.0,1
244,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,2,AS,0,1335.0,1
245,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,1,GB,2,52.5,0
246,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,1,FR,2,31.0,0
247,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,1,108.0,1
248,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,1,GB,2,70.0,0
249,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,2,US,1,170.0,1
250,2021,MI,FT,Data Scientist,115000,USD,115000,US,1,US,2,115.0,1
251,2021,EN,FT,Data Scientist,90000,USD,90000,US,2,US,0,90.0,0
252,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,2,US,2,600.0,1
253,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,2,IN,1,2100.0,1
254,2021,MI,FT,Data Analyst,93000,USD,93000,US,2,US,2,93.0,0
255,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,1,CA,1,125.0,1
256,2021,MI,FT,Data Engineer,200000,USD,200000,US,2,US,2,200.0,1
257,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,2,DE,1,147.0,1
258,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,1,US,2,185.0,1
259,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,2,120.0,1
260,2021,MI,FT,Data Scientist,130000,USD,130000,US,1,US,2,130.0,1
261,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,1,DE,2,54.0,0
262,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,2,IN,0,1250.0,1
263,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,2,4900.0,1
264,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,2,DE,0,21.6,0
265,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,1,US,0,160.0,1
266,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,1,93.15,0
267,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,1,111.775,1
268,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,2,TR,1,250.0,1
269,2021,EN,FT,Data Engineer,55000,EUR,65013,DE,1,DE,1,55.0,0
270,2021,EN,FT,Data Engineer,72500,USD,72500,US,2,US,2,72.5,0
271,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,1,102.0,1
272,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,2,65.0,0
273,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,2,DE,0,85.0,0
274,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,1,FR,1,65.72,0
275,2021,EN,FT,Data Scientist,100000,USD,100000,US,2,US,1,100.0,0
276,2021,EN,FT,Data Scientist,58000,USD,58000,US,1,US,2,58.0,0
277,2021,SE,FT,AI Scientist,55000,USD,55000,ES,2,ES,2,55.0,0
278,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,1,TR,2,180.0,1
279,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,2,LU,2,50.0,0
280,2021,MI,FT,Data Engineer,112000,USD,112000,US,2,US,2,112.0,1
281,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,2,100.0,0
282,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,2,NL,2,59.0,0
283,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,2,US,1,105.0,1
284,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,1,CZ,2,69.999,0
285,2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,1,IN,2,7000.0,1
286,2021,SE,FT,Head of Data,87000,EUR,102839,SI,2,SI,2,87.0,0
287,2021,MI,FT,Data Scientist,109000,USD,109000,US,1,US,2,109.0,1
288,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,1,IT,2,43.2,0
289,2022,SE,FT,Data Engineer,135000,USD,135000,US,2,US,1,135.0,1
290,2022,SE,FT,Data Analyst,155000,USD,155000,US,2,US,1,155.0,1
291,2022,SE,FT,Data Analyst,120600,USD,120600,US,2,US,1,120.6,1
292,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,1,130.0,1
293,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,1,90.0,0
294,2022,MI,FT,Data Engineer,170000,USD,170000,US,2,US,1,170.0,1
295,2022,MI,FT,Data Engineer,150000,USD,150000,US,2,US,1,150.0,1
296,2022,SE,FT,Data Analyst,102100,USD,102100,US,2,US,1,102.1,1
297,2022,SE,FT,Data Analyst,84900,USD,84900,US,2,US,1,84.9,0
298,2022,SE,FT,Data Scientist,136620,USD,136620,US,2,US,1,136.62,1
299,2022,SE,FT,Data Scientist,99360,USD,99360,US,2,US,1,99.36,0
300,2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,1,90.0,0
301,2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,1,80.0,0
302,2022,SE,FT,Data Scientist,146000,USD,146000,US,2,US,1,146.0,1
303,2022,SE,FT,Data Scientist,123000,USD,123000,US,2,US,1,123.0,1
304,2022,EN,FT,Data Engineer,40000,GBP,52351,GB,2,GB,1,40.0,0
305,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,1,99.0,0
306,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,1,116.0,1
307,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,1,106.26,1
308,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,1,126.5,1
309,2022,EX,FT,Data Engineer,242000,USD,242000,US,2,US,1,242.0,1
310,2022,EX,FT,Data Engineer,200000,USD,200000,US,2,US,1,200.0,1
311,2022,MI,FT,Data Scientist,50000,GBP,65438,GB,0,GB,1,50.0,0
312,2022,MI,FT,Data Scientist,30000,GBP,39263,GB,0,GB,1,30.0,0
313,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,0,GB,1,60.0,0
314,2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,1,40.0,0
